Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.000000,-116.000000,150.000000,top
C2,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.000000,-75.000000,-90.000000,top
C3,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.800000,-81.800000,-60.000000,top
C4,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.800000,-94.400000,-30.000000,top
C5,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.000000,-110.000000,0.000000,top
C6,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.701499,-124.118750,30.000000,top
C7,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.400000,-133.000000,60.000000,top
C8,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.000000,-135.000000,90.000000,top
C9,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.000000,-128.200000,120.000000,top
C10,1000.0uF,CP_Elec_6.3x5.4,161.000000,-89.000000,-60.000000,top
C11,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.800000,-100.200000,180.000000,top
C12,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.300000,-85.800000,-150.000000,top
C13,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.700000,-76.800000,-120.000000,top
C14,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.000000,-98.000000,180.000000,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,150.000000,-75.000000,0.000000,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.000000,-79.000000,30.000000,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,124.000000,-90.000000,60.000000,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.000000,-105.000000,90.000000,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,124.000000,-120.000000,120.000000,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.000000,-131.000000,150.000000,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,150.000000,-135.000000,180.000000,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,165.000000,-131.000000,-150.000000,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,176.000000,-120.000000,-120.000000,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,180.000000,-105.000000,-90.000000,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,176.000000,-90.000000,-60.000000,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,165.000000,-79.000000,-30.000000,top
F1,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.000000,-85.000000,-90.000000,top
J1,Programming,PinHeader_1x04_P2.54mm_Vertical,167.210000,-97.000000,-90.000000,top
J3,Reset,PinHeader_1x02_P2.54mm_Vertical,160.600000,-107.940000,180.000000,top
R1,330.00R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.000000,-84.000000,0.000000,top
R2,4.70K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.000000,-108.000000,0.000000,top
R3,4.70K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.000000,-108.000000,180.000000,top
R4,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,165.000000,-109.800000,90.000000,top
U1,ATtiny202-SS,SOIC-8_3.9x4.9mm_P1.27mm,152.000000,-102.095000,0.000000,top
