Designator,Val,Package,MidX,MidY,Rotation,Layer
A1,TMC2209,TMC2209,97.760000,-41.100000,0.000000,top
A2,TMC2209,TMC2209,90.840000,-63.760000,0.000000,top
A3,TMC2209,TMC2209,116.760000,-63.760000,0.000000,top
A4,Arduino_Uno_R3_Shield,Arduino_Uno_R3_Shield,70.000000,-90.000000,0.000000,top
BC1,~,DC-DC Step Down Buck Converter (6~24V to 5V16A),75.000000,-71.000000,-90.000000,top
C1,100.0uf,CP_Elec_6.3x7.7,106.760000,-56.600000,-90.000000,top
C2,1.0uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.260000,-42.400000,0.000000,top
C3,"4.0,7uF",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.760000,-57.100000,90.000000,top
C4,100.0uf,CP_Elec_6.3x7.7,99.840000,-79.260000,-90.000000,top
C5,1.0uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.340000,-64.960000,0.000000,top
C6,"4.0,7uF",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.840000,-79.760000,90.000000,top
C7,100.0uf,CP_Elec_6.3x7.7,125.760000,-79.260000,-90.000000,top
C8,1.0uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.260000,-64.960000,0.000000,top
C9,"4.0,7uF",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.760000,-79.760000,90.000000,top
C10,100.0n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.600000,-42.900000,180.000000,top
D1,SM712_SOT23,SOT-23-3,137.500000,-41.900000,90.000000,top
D2,D_TVS,D_SMB_Handsoldering,76.000000,-40.500000,0.000000,top
D3,STPS20SM60SG,TO-263-2_TabPin2,88.000000,-49.000000,0.000000,top
F1,10A Sicherung Verpolung,Fuseholder_Littelfuse_Nano2_157x,75.600000,-49.000000,-90.000000,top
J1,StepMotor 1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,116.760000,-55.100000,90.000000,top
J2,StepMotor 2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,110.000000,-77.760000,90.000000,top
J3,StepMotor 3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,135.600000,-76.500000,90.000000,top
J4,Conn_01x03_Pin,"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",142.000000,-53.000000,90.000000,top
J5,I2C,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,148.000000,-84.000000,180.000000,top
J6,Endstop X,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,143.000000,-75.500000,0.000000,top
J7,Power 24V,TerminalBlock_WAGO_2601-1102_1x02_P3.50mm_Horizontal,67.567500,-51.210000,90.000000,top
J8,0Ohm Jumper,PinHeader_1x02_P2.54mm_Vertical,123.000000,-45.000000,180.000000,top
J9,Endstop Y,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,143.000000,-68.000000,0.000000,top
J10,Enable/Disable,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,124.000000,-58.000000,0.000000,top
J11,Endstop Z,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,143.000000,-60.500000,0.000000,top
JP1,MS1,PinHeader_1x02_P2.54mm_Vertical,102.460000,-49.000000,90.000000,top
JP2,MS1,PinHeader_1x02_P2.54mm_Vertical,95.540000,-71.660000,90.000000,top
JP3,MS1,PinHeader_1x02_P2.54mm_Vertical,121.460000,-71.660000,90.000000,top
JP4,MS2,PinHeader_1x02_P2.54mm_Vertical,102.460000,-45.400000,90.000000,top
JP5,MS2,PinHeader_1x02_P2.54mm_Vertical,95.540000,-68.060000,90.000000,top
JP6,MS2,PinHeader_1x02_P2.54mm_Vertical,121.460000,-68.060000,90.000000,top
JP7,Jumper_3_Open,Jumper_3_NO,96.760000,-51.600000,-90.000000,top
JP8,Jumper_3_Open,Jumper_3_NO,89.840000,-74.260000,-90.000000,top
JP9,Jumper_3_Open,Jumper_3_NO,115.760000,-74.260000,-90.000000,top
R1,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.840000,-66.760000,-90.000000,top
R2,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.760000,-48.100000,90.000000,top
R3,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.760000,-44.100000,-90.000000,top
R4,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.840000,-70.760000,90.000000,top
R5,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.760000,-70.760000,90.000000,top
R6,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.760000,-66.760000,-90.000000,top
R7,1.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.760000,-55.100000,-90.000000,top
R8,1.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.840000,-77.760000,-90.000000,top
R9,1.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.760000,-77.760000,-90.000000,top
R10,10.00R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.600000,-50.200000,-90.000000,top
R11,120.00R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136.600000,-46.200000,90.000000,top
R12,10.00R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.600000,-46.200000,90.000000,top
R13,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.600000,-52.200000,0.000000,top
R14,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.000000,-59.200000,180.000000,top
R15,1.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.000000,-61.300000,0.000000,top
R16,1.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.800000,-43.500000,0.000000,top
R17,1.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.800000,-41.400000,0.000000,top
U1,TP8485E-SR,SOP-8_3.76x4.96mm_P1.27mm,129.600000,-48.200000,0.000000,top
