Designator,Val,Package,MidX,MidY,Rotation,Layer
C14,100.0nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.000000,-66.000000,180.000000,top
F1,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,132.400000,-55.800000,180.000000,top
J1,Programming,PinHeader_1x04_P2.54mm_Vertical,141.190000,-52.000000,90.000000,top
J2,I2C,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,136.500000,-70.000000,0.000000,top
J3,Reset,PinHeader_1x02_P2.54mm_Vertical,151.500000,-58.000000,0.000000,top
J4,Servo_1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,126.000000,-60.500000,90.000000,top
J5,Servo_2/Endstop,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,126.000000,-71.500000,90.000000,top
J6,Power/Servo,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,136.000000,-51.000000,180.000000,top
R1,100.00R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.000000,-59.000000,0.000000,top
R2,4.70K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.000000,-65.000000,180.000000,top
R3,4.70K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,142.000000,-65.000000,0.000000,top
R4,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.000000,-61.000000,180.000000,top
R5,100.00R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.000000,-61.000000,0.000000,top
U1,ATtiny202-SS,SOIC-8_3.9x4.9mm_P1.27mm,140.000000,-60.000000,0.000000,top
